budget_id,school_id,municipality_code,fiscal_year,category,budgeted_amount,spent_amount,currency,approved_date,approved_by,notes,created_at,updated_at
BUD-000026,561-SCH-003,561,2024,Kantinedrift,1129559.7,986898.9,DKK,2024-01-15,Sebastian Kristensen,,2026-02-27T13:34:08.222013,2026-02-27T13:34:08.222014
BUD-000027,561-SCH-003,561,2024,Specialundervisning,851689.72,793833.22,DKK,2024-01-15,William Hansen,,2026-02-27T13:34:08.222016,2026-02-27T13:34:08.222017
BUD-000028,561-SCH-003,561,2024,Fritidsaktiviteter,731721.63,665708.78,DKK,2024-01-15,Tobias Lund,,2026-02-27T13:34:08.222019,2026-02-27T13:34:08.222020
BUD-000029,561-SCH-003,561,2024,Administration,578699.23,473464.21,DKK,2024-01-15,Oscar Berg,,2026-02-27T13:34:08.222022,2026-02-27T13:34:08.222023
BUD-000030,561-SCH-003,561,2024,Rengoring,1082352.53,846710.53,DKK,2024-01-15,Oscar Thomsen,,2026-02-27T13:34:08.222025,2026-02-27T13:34:08.222026
BUD-000031,561-SCH-004,561,2024,Personale,24361107.41,21477794.71,DKK,2024-01-15,Jakob Poulsen,,2026-02-27T13:34:08.222029,2026-02-27T13:34:08.222029
BUD-000032,561-SCH-004,561,2024,Undervisningsmaterialer,3589773.71,3314298.55,DKK,2024-01-15,Rasmus Lund,,2026-02-27T13:34:08.222032,2026-02-27T13:34:08.222032
BUD-000033,561-SCH-004,561,2024,IT_udstyr,2552674.12,1935923.34,DKK,2024-01-15,Christian Knudsen,,2026-02-27T13:34:08.222035,2026-02-27T13:34:08.222035
BUD-000034,561-SCH-004,561,2024,Bygningsvedligehold,1390918.0,1082400.22,DKK,2024-01-15,Kasper Johansen,,2026-02-27T13:34:08.222037,2026-02-27T13:34:08.222038
BUD-000035,561-SCH-004,561,2024,Transport,1503213.29,1388573.77,DKK,2024-01-15,Jakob Jakobsen,,2026-02-27T13:34:08.222040,2026-02-27T13:34:08.222041
BUD-000036,561-SCH-004,561,2024,Kantinedrift,1044937.66,967110.66,DKK,2024-01-15,Frederik Moller,,2026-02-27T13:34:08.222043,2026-02-27T13:34:08.222044
BUD-000037,561-SCH-004,561,2024,Specialundervisning,1533040.44,1254462.36,DKK,2024-01-15,Oscar Kristensen,,2026-02-27T13:34:08.222046,2026-02-27T13:34:08.222047
BUD-000038,561-SCH-004,561,2024,Fritidsaktiviteter,820742.82,720778.38,DKK,2024-01-15,Kasper Moller,,2026-02-27T13:34:08.222049,2026-02-27T13:34:08.222050
BUD-000039,561-SCH-004,561,2024,Administration,1112951.51,1006238.81,DKK,2024-01-15,Mathias Rasmussen,,2026-02-27T13:34:08.222052,2026-02-27T13:34:08.222053
BUD-000040,561-SCH-004,561,2024,Rengoring,1813022.1,1460903.23,DKK,2024-01-15,Emil Kristensen,,2026-02-27T13:34:08.222055,2026-02-27T13:34:08.222056
